date,temp_max,temp_min,temp_avg,precipitation
2021-01-03,14.566666666666668,7.266666666666666,10.733333333333334,4.4
2021-01-10,14.314285714285715,8.571428571428571,11.471428571428572,40.1
2021-01-17,9.0,3.6571428571428575,6.071428571428571,63.8
2021-01-24,8.671428571428573,3.0285714285714285,5.885714285714286,2.7
2021-01-31,10.885714285714286,4.957142857142857,7.785714285714286,38.5
2021-02-07,14.957142857142857,7.385714285714286,10.814285714285715,4.8
2021-02-14,12.614285714285714,7.228571428571429,9.142857142857142,42.4
2021-02-21,4.514285714285714,-0.8,1.9571428571428573,12.2
2021-02-28,10.571428571428571,2.5714285714285716,6.571428571428571,0.2
2021-03-07,10.085714285714285,2.757142857142857,6.5,21.0
2021-03-14,10.742857142857144,2.7857142857142856,6.571428571428571,12.9
2021-03-21,10.585714285714285,5.6571428571428575,8.057142857142857,38.4
2021-03-28,9.171428571428573,3.1142857142857143,5.985714285714286,20.5
2021-04-04,12.1,5.271428571428571,8.757142857142856,6.8
2021-04-11,12.200000000000001,4.371428571428572,8.414285714285715,39.1
2021-04-18,14.971428571428573,7.871428571428572,10.799999999999999,10.2
2021-04-25,15.442857142857141,9.085714285714285,12.257142857142856,13.8
2021-05-02,20.714285714285715,10.742857142857142,15.200000000000001,0.8999999999999999
2021-05-09,22.099999999999998,13.042857142857143,17.385714285714286,6.1
2021-05-16,21.67142857142857,11.214285714285714,16.414285714285715,4.5
2021-05-23,21.97142857142857,14.071428571428571,17.857142857142858,35.4
2021-05-30,22.685714285714287,14.799999999999999,18.257142857142856,4.6
2021-06-06,19.7,13.285714285714286,16.6,25.8
2021-06-13,25.099999999999998,16.928571428571427,20.72857142857143,3.5
2021-06-20,21.585714285714285,15.914285714285715,18.642857142857142,65.5
2021-06-27,26.8,19.3,23.0,1.9
2021-07-04,28.414285714285715,20.357142857142858,24.24285714285714,23.0
2021-07-11,26.085714285714285,21.057142857142857,23.3,49.2
2021-07-18,29.342857142857145,22.3,25.5,0.0
2021-07-25,27.642857142857142,21.914285714285715,24.728571428571428,1.7
2021-08-01,32.17142857142857,21.514285714285712,26.428571428571427,0.0
2021-08-08,33.042857142857144,22.142857142857142,27.12857142857143,7.8
2021-08-15,28.82857142857143,20.142857142857142,24.47142857142857,2.8
2021-08-22,28.285714285714285,20.042857142857144,23.928571428571427,1.0
2021-08-29,30.342857142857145,21.571428571428573,25.428571428571427,0.0
2021-09-05,26.142857142857142,19.0,22.5,1.8
2021-09-12,24.057142857142857,17.47142857142857,20.52857142857143,10.200000000000001
2021-09-19,26.0,17.514285714285712,21.514285714285712,6.4
2021-09-26,21.75714285714286,14.957142857142857,18.285714285714285,11.700000000000001
2021-10-03,19.585714285714285,14.885714285714286,16.885714285714286,3.1999999999999997
2021-10-10,19.457142857142856,14.12857142857143,16.15714285714286,6.2
2021-10-17,20.357142857142858,14.228571428571428,16.657142857142855,22.7
2021-10-24,17.257142857142856,11.614285714285714,14.214285714285714,6.199999999999999
2021-10-31,16.4,11.257142857142856,13.314285714285715,1.0
2021-11-07,18.82857142857143,12.671428571428573,15.271428571428572,15.6
2021-11-14,15.542857142857143,8.4,11.471428571428572,7.2
2021-11-21,13.799999999999999,8.214285714285714,10.5,0.6
2021-11-28,14.771428571428572,9.542857142857143,12.357142857142858,32.800000000000004
2021-12-05,15.342857142857143,9.200000000000001,12.257142857142856,29.2
2021-12-12,15.414285714285713,9.9,12.314285714285715,25.6
2021-12-19,8.442857142857143,5.085714285714286,6.785714285714286,52.2
2021-12-26,7.814285714285715,1.657142857142857,4.985714285714286,2.1
2022-01-02,13.028571428571427,8.071428571428571,10.557142857142859,9.4
2022-01-09,13.614285714285714,8.314285714285715,10.842857142857143,1.5
2022-01-16,7.071428571428571,2.2714285714285714,4.6,21.5
2022-01-23,5.685714285714285,-0.8142857142857143,3.1,45.8
2022-01-30,4.514285714285714,-1.0,1.9285714285714286,9.5
2022-02-06,8.085714285714285,1.542857142857143,4.928571428571429,37.9
2022-02-13,9.614285714285714,2.6999999999999997,6.014285714285714,66.7
2022-02-20,10.442857142857141,2.4857142857142853,6.714285714285714,4.9
2022-02-27,11.042857142857143,5.871428571428572,8.328571428571427,36.699999999999996
2022-03-06,7.128571428571428,2.3714285714285714,4.857142857142857,7.0
2022-03-13,3.6714285714285713,0.028571428571428532,1.957142857142857,19.6
2022-03-20,6.185714285714285,-0.6571428571428571,2.642857142857143,9.200000000000001
2022-03-27,9.857142857142858,2.457142857142857,5.914285714285714,4.7
2022-04-03,18.057142857142857,8.842857142857143,13.314285714285713,8.5
2022-04-10,17.514285714285712,7.571428571428571,12.1,19.9
2022-04-17,14.814285714285715,6.628571428571429,10.557142857142859,22.6
2022-04-24,16.114285714285714,7.742857142857143,11.742857142857144,12.8
2022-05-01,18.599999999999998,11.028571428571428,14.357142857142858,0.5
2022-05-08,16.45714285714286,9.257142857142856,12.585714285714285,5.2
2022-05-15,21.785714285714285,11.014285714285714,16.342857142857145,0.0
2022-05-22,22.928571428571427,11.085714285714285,17.142857142857142,8.9
2022-05-29,26.67142857142857,15.971428571428572,21.271428571428572,7.2
2022-06-05,26.557142857142857,18.414285714285715,21.914285714285715,0.0
2022-06-12,25.342857142857145,17.385714285714283,20.942857142857143,24.6
2022-06-19,24.928571428571427,17.9,21.3,0.5
2022-06-26,25.74285714285714,17.728571428571428,22.014285714285712,18.3
2022-07-03,26.87142857142857,19.7,22.985714285714288,13.4
2022-07-10,27.3,20.0,23.285714285714285,26.2
2022-07-17,27.314285714285713,18.714285714285715,23.057142857142857,1.1
2022-07-24,29.214285714285715,18.7,24.02857142857143,0.3
2022-07-31,30.12857142857143,21.485714285714288,25.38571428571429,1.5
2022-08-07,29.0,21.8,25.185714285714287,0.7
2022-08-14,29.114285714285717,21.67142857142857,25.085714285714285,19.900000000000002
2022-08-21,28.457142857142856,20.957142857142856,24.5,25.8
2022-08-28,28.485714285714288,22.25714285714286,24.942857142857143,15.200000000000001
2022-09-04,27.8,21.642857142857142,24.428571428571427,13.200000000000001
2022-09-11,25.457142857142856,18.02857142857143,21.37142857142857,1.0
2022-09-18,26.0,17.314285714285713,21.585714285714285,14.2
2022-09-25,19.642857142857142,12.714285714285714,16.12857142857143,15.2
2022-10-02,25.314285714285713,16.742857142857144,21.12857142857143,11.1
2022-10-09,20.400000000000002,14.571428571428571,17.25714285714286,7.5
2022-10-16,19.74285714285714,14.671428571428573,16.87142857142857,12.799999999999999
2022-10-23,18.057142857142857,11.171428571428573,14.62857142857143,1.0
2022-10-30,19.97142857142857,10.971428571428572,14.971428571428572,0.0
2022-11-06,20.3,10.428571428571429,14.9,2.0
2022-11-13,16.728571428571428,9.342857142857143,12.814285714285715,0.1
2022-11-20,18.542857142857144,12.657142857142857,15.614285714285714,13.600000000000001
2022-11-27,14.885714285714284,9.771428571428572,12.285714285714286,22.8
2022-12-04,13.785714285714286,9.185714285714285,11.257142857142856,7.800000000000001
2022-12-11,15.1,9.314285714285715,11.957142857142857,2.3
2022-12-18,15.299999999999999,8.514285714285714,11.828571428571427,32.8
2022-12-25,10.6,3.9857142857142853,7.3428571428571425,4.6
2023-01-01,12.1,4.8,8.2,0.8
2023-01-08,11.242857142857144,4.585714285714286,7.742857142857143,4.1
2023-01-15,11.971428571428572,6.285714285714286,8.828571428571427,5.0
2023-01-22,15.785714285714286,8.242857142857144,11.828571428571427,2.3
2023-01-29,9.414285714285715,5.442857142857143,7.3428571428571425,12.5
2023-02-05,6.757142857142857,1.242857142857143,4.171428571428572,19.8
2023-02-12,4.885714285714286,0.04285714285714296,2.4,29.1
2023-02-19,9.642857142857142,2.5428571428571423,6.157142857142857,1.3
2023-02-26,14.542857142857144,5.857142857142857,9.971428571428572,3.0
2023-03-05,12.457142857142857,7.3,9.385714285714286,17.5
2023-03-12,14.857142857142858,8.828571428571427,11.528571428571428,29.1
2023-03-19,10.557142857142859,6.114285714285714,8.114285714285714,38.1
2023-03-26,14.471428571428573,6.014285714285714,9.314285714285715,17.0
2023-04-02,13.571428571428571,6.1000000000000005,9.742857142857144,48.7
2023-04-09,14.971428571428572,7.685714285714285,10.557142857142859,19.2
2023-04-16,15.971428571428572,9.642857142857142,12.514285714285714,28.400000000000002
2023-04-23,16.871428571428574,9.585714285714285,12.671428571428573,5.5
2023-04-30,15.828571428571427,8.542857142857143,12.200000000000001,36.8
2023-05-07,18.885714285714283,10.642857142857142,14.1,27.8
2023-05-14,16.442857142857143,10.085714285714285,12.914285714285715,1.8
2023-05-21,20.585714285714285,12.528571428571428,16.071428571428573,18.4
2023-05-28,20.442857142857143,13.971428571428573,16.97142857142857,7.9
2023-06-04,22.52857142857143,15.985714285714286,18.985714285714288,21.6
2023-06-11,23.042857142857144,15.871428571428572,19.25714285714286,0.1
2023-06-18,24.514285714285712,17.614285714285714,20.585714285714285,9.5
2023-06-25,26.74285714285714,18.385714285714283,22.342857142857145,25.5
2023-07-02,28.3,16.82857142857143,22.914285714285715,2.0
2023-07-09,29.571428571428573,20.74285714285714,24.585714285714285,24.3
2023-07-16,31.742857142857144,20.285714285714285,26.057142857142857,0.3
2023-07-23,32.385714285714286,21.285714285714285,26.657142857142855,0.2
2023-07-30,31.028571428571432,19.17142857142857,25.400000000000002,0.6
2023-08-06,32.785714285714285,21.228571428571428,26.814285714285713,0.6
2023-08-13,28.714285714285715,21.585714285714285,24.62857142857143,3.4
2023-08-20,30.514285714285712,23.12857142857143,26.0,0.5
2023-08-27,31.142857142857142,22.657142857142855,26.17142857142857,0.0
2023-09-03,30.785714285714285,21.3,25.599999999999998,7.5
2023-09-10,27.542857142857144,21.071428571428573,23.75714285714286,1.8
2023-09-17,27.12857142857143,17.228571428571428,21.842857142857145,0.0
2023-09-24,28.057142857142857,16.67142857142857,21.97142857142857,0.0
2023-10-01,24.82857142857143,18.585714285714285,20.985714285714288,56.2
2023-10-08,22.728571428571428,14.4,18.442857142857143,3.9
2023-10-15,21.428571428571427,12.171428571428573,16.54285714285714,0.7
2023-10-22,20.685714285714287,14.4,17.114285714285717,16.8
2023-10-29,24.24285714285714,17.085714285714285,20.342857142857145,0.4
2023-11-05,22.985714285714288,16.585714285714285,19.52857142857143,27.700000000000003
2023-11-12,20.82857142857143,13.942857142857141,17.17142857142857,24.599999999999998
2023-11-19,15.071428571428571,8.871428571428572,12.271428571428572,145.0
2023-11-26,16.157142857142855,9.0,12.757142857142856,18.8
2023-12-03,15.471428571428572,10.671428571428573,13.042857142857144,46.6
2023-12-10,11.114285714285714,7.557142857142857,8.985714285714286,28.799999999999997
2023-12-17,12.685714285714285,6.571428571428571,9.571428571428571,33.7
2023-12-24,12.657142857142857,4.785714285714286,8.671428571428573,13.8
2023-12-31,14.585714285714287,7.5,10.814285714285715,0.5
2024-01-07,14.457142857142857,8.328571428571427,11.528571428571428,14.4
2024-01-14,7.242857142857143,1.6571428571428573,4.642857142857143,33.2
2024-01-21,12.385714285714286,6.6571428571428575,9.514285714285714,46.7
2024-01-28,7.942857142857142,2.6,5.357142857142857,10.8
2024-02-04,7.685714285714285,2.5714285714285716,5.3,8.0
2024-02-11,15.857142857142858,10.442857142857141,12.700000000000001,0.4
2024-02-18,10.585714285714285,6.285714285714286,8.414285714285715,27.8
2024-02-25,13.142857142857142,3.9,8.385714285714286,0.0
2024-03-03,15.842857142857143,6.0,9.342857142857143,0.6
2024-03-10,11.457142857142857,4.1,7.557142857142857,22.500000000000004
2024-03-17,14.228571428571428,5.728571428571429,9.671428571428573,21.7
2024-03-24,11.942857142857141,2.242857142857143,7.385714285714286,10.0
2024-03-31,19.585714285714285,9.228571428571428,13.942857142857145,16.2
2024-04-07,20.685714285714287,10.142857142857142,14.700000000000001,1.3
2024-04-14,20.02857142857143,9.814285714285715,14.171428571428573,0.0
2024-04-21,20.62857142857143,11.6,16.071428571428573,37.8
2024-04-28,20.514285714285712,13.328571428571427,16.485714285714284,27.1
2024-05-05,17.042857142857144,11.200000000000001,14.042857142857143,29.0
2024-05-12,19.957142857142856,10.171428571428573,14.799999999999999,30.1
2024-05-19,19.228571428571428,9.9,14.314285714285715,12.5
2024-05-26,21.75714285714286,13.528571428571428,17.2,11.3
2024-06-02,25.542857142857144,13.842857142857143,19.928571428571427,2.5999999999999996
2024-06-09,30.47142857142857,19.17142857142857,24.585714285714285,0.0
2024-06-16,31.814285714285713,19.428571428571427,25.5,9.6
2024-06-23,28.928571428571427,19.6,23.985714285714288,0.0
2024-06-30,28.085714285714285,20.17142857142857,23.914285714285715,0.0
2024-07-07,29.599999999999998,19.557142857142857,24.5,8.8
2024-07-14,30.485714285714288,22.67142857142857,26.32857142857143,16.6
2024-07-21,33.1,23.928571428571427,28.099999999999998,1.3
2024-07-28,30.24285714285714,21.585714285714285,25.928571428571427,6.5
2024-08-04,30.342857142857145,20.75714285714286,25.414285714285715,3.3
2024-08-11,29.614285714285717,21.042857142857144,25.142857142857142,1.0
2024-08-18,30.485714285714288,22.014285714285712,25.814285714285713,0.0
2024-08-25,30.642857142857142,20.657142857142855,25.0,2.5
2024-09-01,28.02857142857143,20.114285714285717,24.0,15.1
2024-09-08,27.7,19.228571428571428,22.985714285714288,25.6
2024-09-15,28.599999999999998,19.685714285714287,23.842857142857145,7.9
2024-09-22,24.400000000000002,16.32857142857143,19.900000000000002,19.0
2024-09-29,27.12857142857143,16.714285714285715,20.885714285714283,2.9000000000000004
2024-10-06,24.0,15.514285714285714,19.457142857142856,34.7
2024-10-13,23.4,16.142857142857142,19.485714285714288,4.4
2024-10-20,18.242857142857144,10.457142857142857,13.857142857142858,4.7
2024-10-27,17.985714285714288,10.442857142857141,13.700000000000001,0.6
2024-11-03,18.285714285714285,10.885714285714286,14.057142857142859,1.1
2024-11-10,15.485714285714286,8.885714285714286,11.914285714285715,0.1
2024-11-17,15.0,10.571428571428571,12.4,7.3
2024-11-24,15.37142857142857,6.285714285714286,10.828571428571427,65.7
2024-12-01,12.042857142857143,6.657142857142857,9.142857142857142,0.7
2024-12-08,12.771428571428572,9.028571428571428,10.528571428571428,20.4
2024-12-15,11.87142857142857,7.171428571428572,9.37142857142857,75.0
2024-12-22,11.385714285714286,6.471428571428571,8.714285714285714,22.5
2024-12-29,11.1,6.885714285714286,8.785714285714286,28.6
2025-01-05,10.5,4.785714285714286,7.528571428571429,15.5
2025-01-12,12.985714285714286,7.628571428571428,10.228571428571428,15.2
2025-01-19,8.357142857142858,3.4285714285714284,5.614285714285714,35.9
2025-01-26,11.257142857142856,4.5,7.671428571428572,19.8
2025-02-02,13.342857142857143,6.985714285714286,9.557142857142859,0.1
2025-02-09,6.257142857142857,2.5,4.128571428571428,19.6
2025-02-16,7.785714285714286,2.157142857142857,4.771428571428571,27.3
2025-02-23,3.9428571428571426,-0.12857142857142861,1.7571428571428573,39.4
2025-03-02,10.642857142857142,1.757142857142857,5.828571428571429,3.9
2025-03-09,11.6,3.814285714285714,7.085714285714286,1.9
2025-03-16,22.37142857142857,11.957142857142856,16.52857142857143,1.3
2025-03-23,12.442857142857141,3.9285714285714284,8.028571428571428,24.2
2025-03-30,20.52857142857143,10.757142857142856,14.814285714285715,4.9
2025-04-06,16.400000000000002,8.442857142857143,11.585714285714285,24.7
2025-04-13,10.114285714285714,4.0,7.042857142857143,25.2
2025-04-20,19.457142857142856,7.185714285714285,12.37142857142857,0.4
2025-04-27,19.042857142857144,10.114285714285714,13.87142857142857,0.9
2025-05-04,16.228571428571428,8.457142857142857,11.971428571428572,7.4
2025-05-11,23.67142857142857,13.914285714285715,18.714285714285715,8.0
2025-05-18,19.985714285714288,11.200000000000001,15.3,18.9
2025-05-25,26.771428571428572,15.242857142857144,20.97142857142857,3.0
2025-06-01,22.314285714285713,14.442857142857141,18.3,24.2
2025-06-08,28.414285714285715,17.385714285714286,22.75714285714286,0.1
2025-06-15,26.928571428571427,18.5,22.24285714285714,0.1
2025-06-22,28.642857142857142,18.17142857142857,23.414285714285715,0.1
2025-06-29,31.885714285714283,19.82857142857143,25.97142857142857,0.7
2025-07-06,29.75714285714286,19.099999999999998,24.414285714285715,0.0
2025-07-13,32.15714285714286,20.900000000000002,26.228571428571428,0.0
2025-07-20,31.585714285714285,21.557142857142857,26.571428571428573,0.0
2025-07-27,35.357142857142854,23.457142857142856,29.314285714285713,0.0
2025-08-03,31.314285714285713,23.057142857142857,26.87142857142857,0.8999999999999999
2025-08-10,30.542857142857144,23.185714285714287,26.414285714285715,1.8
2025-08-17,29.028571428571432,22.7,25.52857142857143,0.0
2025-08-24,29.599999999999998,20.342857142857145,24.714285714285715,2.2
2025-08-31,28.585714285714285,20.214285714285715,24.099999999999998,0.0
2025-09-07,28.085714285714285,20.785714285714285,24.11428571428571,12.6
2025-09-14,25.985714285714288,18.928571428571427,22.014285714285712,1.4
2025-09-21,24.771428571428572,16.928571428571427,20.599999999999998,2.8000000000000003
2025-09-28,23.8,16.942857142857143,19.900000000000002,2.3
2025-10-05,20.342857142857145,14.457142857142857,17.15714285714286,17.099999999999998
2025-10-12,18.071428571428573,12.671428571428573,15.328571428571427,29.2
2025-10-19,18.385714285714283,13.214285714285714,15.514285714285714,11.3
2025-10-26,19.75714285714286,13.142857142857142,16.228571428571428,79.7
2025-11-02,19.642857142857142,11.185714285714285,14.87142857142857,14.1
2025-11-09,19.457142857142856,13.614285714285714,16.114285714285714,7.4
2025-11-16,16.485714285714288,10.299999999999999,13.185714285714285,22.3
2025-11-23,20.24285714285714,14.385714285714286,16.928571428571427,1.7
2025-11-30,16.257142857142856,10.771428571428572,13.12857142857143,16.0
2025-12-07,15.214285714285714,8.714285714285714,11.442857142857141,47.5
2025-12-14,11.714285714285714,7.142857142857143,9.385714285714286,4.2
2025-12-21,12.299999999999999,5.728571428571429,8.528571428571428,1.1
2025-12-28,10.014285714285714,6.042857142857143,8.128571428571428,17.599999999999998
2026-01-04,7.466666666666666,1.6333333333333335,4.933333333333334,15.8
